Species,Treatment,body.mass
A,diet1,72.11632164
A,diet1,73.34972114
A,diet1,66.38731171
A,diet1,74.04821588
A,diet1,70.42017237
A,diet1,69.15382178
A,diet1,70.3208296
A,diet1,72.46969491
A,diet1,65.43599061
A,diet1,61.39002287
A,diet1,70.50127724
A,diet1,69.20951208
A,diet1,75.1137215
A,diet1,70.00523971
A,diet1,62.71530256
A,diet1,53.59544939
A,diet1,71.82663045
A,diet1,76.58612923
A,diet1,67.15691183
A,diet1,69.80714019
A,diet1,63.33120636
A,diet1,73.13613102
A,diet1,73.32961255
A,diet1,63.86978452
A,diet1,62.24247053
A,diet1,67.97729839
A,diet1,67.97061608
A,diet1,70.55889585
A,diet1,66.70252764
A,diet1,69.71966705
A,diet1,67.37707011
A,diet1,65.84132662
A,diet1,67.7790715
A,diet1,71.22119007
A,diet1,67.09832871
A,diet1,75.02897937
A,diet1,68.22447026
A,diet1,71.87633692
A,diet1,73.89588768
A,diet1,66.09366896
A,diet1,74.68284316
A,diet1,74.80942048
A,diet1,67.37695834
A,diet1,72.95799745
A,diet1,65.68171628
A,diet1,76.07543156
A,diet1,71.99807581
A,diet1,66.92083448
A,diet1,71.10359773
A,diet1,72.83866731
A,diet1,70.04649042
A,diet1,65.49050985
A,diet1,75.21226306
A,diet1,66.95756426
A,diet1,75.98544437
A,diet1,63.89187068
A,diet1,79.43622012
A,diet1,65.94521223
A,diet1,68.24820125
A,diet1,62.52389956
A,diet1,67.67468837
A,diet1,70.84759982
A,diet1,68.52650626
A,diet1,71.82307211
A,diet1,73.0461044
A,diet1,71.57500169
A,diet1,67.86747919
A,diet1,68.06505246
A,diet1,68.62265657
A,diet1,62.27713424
A,diet1,70.39378221
A,diet1,72.78810073
A,diet1,74.96808097
A,diet1,70.83908554
A,diet1,80.54485675
A,diet1,76.97797206
A,diet1,71.21112978
A,diet1,70.93421277
A,diet1,77.7914724
A,diet1,65.1303345
A,diet1,75.32123662
A,diet1,75.64783166
A,diet1,70.9268843
A,diet1,75.08848477
A,diet1,68.97797664
A,diet1,75.51926266
A,diet1,60.03290233
A,diet1,68.10081512
A,diet1,68.83645414
A,diet1,61.2474967
A,diet1,61.66144595
A,diet1,67.1837262
A,diet1,68.36038803
A,diet1,73.40213732
A,diet1,55.55054341
A,diet1,77.59678224
A,diet1,67.99399184
A,diet1,74.48529968
A,diet1,62.95253978
A,diet1,77.43870344
A,diet2,69.53115965
A,diet2,64.00057316
A,diet2,77.39791207
A,diet2,74.81499426
A,diet2,67.31607313
A,diet2,70.57451901
A,diet2,68.29218604
A,diet2,73.89931003
A,diet2,74.48195722
A,diet2,70.65401532
A,diet2,83.59196265
A,diet2,66.8432737
A,diet2,76.36297487
A,diet2,65.90819505
A,diet2,70.91562816
A,diet2,82.83004397
A,diet2,76.1268488
A,diet2,71.81423648
A,diet2,76.99642793
A,diet2,73.29422218
A,diet2,72.62323228
A,diet2,77.42251294
A,diet2,72.93987873
A,diet2,70.53924233
A,diet2,74.32019379
A,diet2,70.94224894
A,diet2,65.27771415
A,diet2,69.57726958
A,diet2,64.30747961
A,diet2,72.01856543
A,diet2,66.83522581
A,diet2,67.10037736
A,diet2,69.09712057
A,diet2,60.16390459
A,diet2,64.25210756
A,diet2,61.91722431
A,diet2,75.69645705
A,diet2,69.816167
A,diet2,67.45869508
A,diet2,75.2046833
A,diet2,66.73603389
A,diet2,70.8111252
A,diet2,69.31337159
A,diet2,69.91656612
A,diet2,67.37019007
A,diet2,70.39685898
A,diet2,73.99739054
A,diet2,69.41551759
A,diet2,62.89220932
A,diet2,64.72256971
A,diet2,69.98052314
A,diet2,75.03898902
A,diet2,64.87307658
A,diet2,65.45751734
A,diet2,77.83643718
A,diet2,64.465811
A,diet2,65.60374609
A,diet2,66.55281826
A,diet2,74.9506168
A,diet2,65.6723534
A,diet2,68.65365962
A,diet2,69.18158328
A,diet2,62.88597016
A,diet2,71.94768624
A,diet2,73.29174974
A,diet2,66.69937663
A,diet2,68.84867462
