depth,alga.length,Species
5,18.23408551,Species A
6,15.15384389,Species A
7,17.49744901,Species A
8,13.5089627,Species A
9,16.17127373,Species A
10,13.30677929,Species A
11,14.99365686,Species A
12,15.27641184,Species A
13,19.28614859,Species A
14,18.52744328,Species A
15,15.20867879,Species A
16,19.12382446,Species A
17,19.03089061,Species A
18,15.61771232,Species A
19,14.4840836,Species A
20,17.25595861,Species A
21,15.86612946,Species A
5,21.12571279,Species A
6,11.82130165,Species A
7,13.18233955,Species A
8,12.90236327,Species A
9,15.83117776,Species A
10,11.41644432,Species A
11,15.80724205,Species A
12,18.630157,Species A
13,19.23840547,Species A
14,13.23592479,Species A
15,15.69622515,Species A
16,14.02635777,Species A
17,17.08809063,Species A
18,16.50578201,Species A
19,19.06143289,Species A
20,18.43395465,Species A
21,15.20236193,Species A
5,17.78371099,Species A
6,14.8370248,Species A
7,17.43442071,Species A
8,12.64543413,Species A
9,15.10556074,Species A
10,16.38027866,Species A
11,18.01224661,Species A
12,13.91867455,Species A
13,15.84990969,Species A
14,15.18800736,Species A
15,15.85875289,Species A
16,14.27013311,Species A
17,18.55959842,Species A
18,12.72186079,Species A
19,13.10479692,Species A
20,16.79267392,Species A
21,18.16462881,Species A
5,11.56675054,Species B
6,13.00788498,Species B
7,16.34603622,Species B
8,18.5724531,Species B
9,20.75994814,Species B
10,23.88738415,Species B
11,22.26697818,Species B
12,21.60923175,Species B
13,24.44058943,Species B
14,27.13882668,Species B
15,24.5624209,Species B
16,28.97239999,Species B
17,29.94908228,Species B
18,31.96349148,Species B
19,36.28858246,Species B
20,35.93893152,Species B
21,37.09866795,Species B
5,17.32625215,Species B
6,15.84775945,Species B
7,16.43251674,Species B
8,18.9622075,Species B
9,17.11939486,Species B
10,21.97983932,Species B
11,22.38089675,Species B
12,24.51060392,Species B
13,25.02484409,Species B
14,23.37250281,Species B
15,24.28405562,Species B
16,30.92014068,Species B
17,27.27157941,Species B
18,30.46076414,Species B
19,34.11218492,Species B
20,34.51745412,Species B
21,37.71293392,Species B
5,15.97316165,Species B
6,13.50639415,Species B
7,16.93547794,Species B
8,17.00238237,Species B
9,18.19644387,Species B
10,16.92685238,Species B
11,21.354353,Species B
12,23.39430492,Species B
13,29.00965082,Species B
14,28.79447563,Species B
15,22.95059213,Species B
16,28.61194976,Species B
17,31.50519478,Species B
18,30.73232904,Species B
19,36.93381796,Species B
20,37.31153674,Species B
21,36.69622341,Species B
