Species	body.mass
A	37.64
A	27.83
A	25.76
A	27.71
A	30.6
A	32.71
A	33.18
A	32.17
A	37.72
A	28.49
A	27.97
A	17.81
A	28
A	24.09
A	31.23
A	20.88
A	30.93
A	27.1
A	33.24
A	28.8
A	29.49
A	32.74
A	37.42
A	29.44
A	30.5
A	17.97
A	25.36
A	34.72
A	35.04
A	22.58
A	28.08
A	33.17
A	31.81
A	21.13
A	24.78
A	31.05
A	32.67
A	37.4
A	31.39
A	29.68
A	32.45
A	32.31
A	29.25
A	27.71
A	25.97
A	32.07
A	29.96
A	26.4
A	26.56
A	33.56
A	34.6
A	28.55
A	33.03
A	21.17
A	32.98
A	30.18
A	28.96
A	35.63
A	35.74
A	28.29
A	32.22
A	30.17
A	29.16
A	36.65
A	23.82
A	32.09
A	24.94
A	34.66
A	27.55
A	40.72
A	27.55
A	28.18
A	39.91
A	30.86
A	25.58
A	37.08
A	26.09
A	30.72
A	33.7
A	21.06
A	29.63
A	32.56
A	29.27
A	28.49
A	34.37
A	21.75
A	30.85
A	41.26
A	23.23
A	32.55
A	25.21
A	26.02
A	30.47
A	31.87
A	29.05
A	18.89
A	22.38
A	23.74
A	22.92
A	29.88
A	29.32
A	24.11
A	18.77
A	29.97
A	32.64
A	23.95
A	22.41
A	39.14
A	36.78
A	27.09
A	24.53
A	29.04
A	29.76
A	26.89
A	40.55
A	33.59
A	33.45
A	33.42
A	28.34
A	31.99
A	20.77
A	31.44
A	27.51
A	33.17
A	37.3
A	21.98
A	20.14
A	38.87
A	26.09
A	34.39
A	23.77
A	33.9
A	23.04
A	33.18
A	24.33
A	29.73
A	30.9
A	25.34
A	21.68
A	29.39
A	22.9
A	32.16
A	22.87
A	30.93
A	31.13
A	35.44
A	31.03
A	39.91
A	30.16
A	26.91
A	29.19
A	27.17
A	27.62
A	29.94
A	34.06
A	24.33
A	21.05
A	26.04
A	19.13
A	36.46
A	38.97
A	25.13
A	22.81
A	30.23
A	22.26
A	30.63
A	31.87
A	30.19
A	21.29
A	30.06
A	28.97
A	23.63
A	16.96
A	26.33
A	29.57
A	32.92
A	30.57
A	32.65
A	29.34
A	25.84
A	25.69
A	36.05
A	19.63
A	26.29
A	27.93
A	16.33
A	40.55
A	34.71
A	27
A	24.72
A	19.99
A	24.5
A	27.08
A	31.94
A	23.4
A	24.79
A	41.01
A	25.26
A	21.54
A	23.65
A	28.23
A	29.17
A	26.04
A	24.11
A	32.85
A	30.05
A	34.64
A	34.52
A	27.67
A	27.55
A	34.27
A	39.65
A	31.79
A	30.7
A	33.79
A	28.34
A	29.85
A	28.93
A	35.74
A	23.8
A	32.55
A	32.6
A	33.49
A	27.3
A	22.46
A	28.3
A	38
A	33.79
A	26.38
A	27.13
A	23.78
A	30.14
A	34.31
A	28.52
A	30.42
A	28.66
A	30.6
A	42.18
A	25.06
A	38.18
A	26.85
A	34.25
A	29.39
A	29.1
A	29.82
A	25.59
A	28.66
A	30.08
A	37.72
A	28.82
A	26.71
A	31.02
A	19.08
A	27.28
A	20.55
A	31.52
A	32.26
A	31.73
A	32.37
A	24.56
A	30.37
A	33.34
A	30.12
A	25.71
A	32.05
A	20.02
A	35.29
A	30.83
A	27.13
A	26.29
A	33.37
A	32.39
A	27.71
A	24.58
A	23.32
A	37.49
A	30.53
A	32.81
A	34.06
A	35.17
A	25.08
A	32.39
A	23.1
A	29.7
A	27.62
A	29.4
A	23.49
A	31.73
A	32.63
A	25.93
A	32.27
A	30.34
A	24.8
A	31.09
A	35.55
A	30.55
A	22.22
A	33.85
A	34.59
A	30.46
A	25.96
A	31.59
A	30.44
A	27.71
A	34.13
A	37.43
A	27.4
A	35.27
A	34.14
A	21.53
A	35.73
A	33.59
A	25.09
A	31.43
A	28.34
A	41.94
A	30.9
A	39.96
A	24.64
A	24.4
A	30.98
A	27.3
A	30.84
A	25.1
A	28.43
A	32.72
A	26.09
A	26.41
A	35.75
A	20.23
A	33.4
A	26.09
A	32.63
A	38.82
A	28.09
A	42.68
A	29.98
A	28.27
A	24.01
A	27.19
A	34.01
A	36.72
A	27.43
A	33.19
A	30.77
A	35.92
A	32.88
A	34.38
A	28.04
A	25.8
A	31.21
A	21.03
A	33.77
A	32.64
A	22.17
A	35.15
A	33.34
A	34.5
A	26.72
A	32.27
A	31.22
A	23.93
A	31.43
A	27.67
A	29.6
A	26.86
A	26.61
A	21.39
A	30.3
A	34.58
A	29.15
A	29.21
A	35.96
A	37.59
A	30.76
A	37.22
A	27.47
A	28.14
A	23.24
A	32.35
A	27.34
A	28.09
A	34.15
A	33.86
A	30.69
A	24.34
A	26.04
A	22.77
A	21.16
A	30.96
A	26.85
A	30.7
A	29.3
A	26.9
A	36.95
A	29.36
A	30.61
A	23.9
A	28.4
A	24.49
A	34.63
A	33.94
A	29.22
A	32.23
A	34.29
A	28.79
A	23.79
A	19.62
A	28.97
A	26.5
A	20.9
A	31.03
A	36.26
A	30.54
A	32.89
A	30.21
A	27.17
A	38.12
A	32.42
A	31.59
A	36.5
A	30.99
A	32.19
A	39.94
A	35.22
A	23.9
A	27.08
A	40.72
A	37.19
A	20.02
A	25.65
A	26.01
A	30.89
A	31.5
A	26.38
A	29.39
A	34.17
A	26.96
A	26.38
A	28.71
A	37.44
A	21.15
A	29.27
A	27.8
A	34.83
A	23.52
A	32.66
A	27.76
