vegetation.cover,brood.size,egg.predation
0,4,4
20,4,2
40,5,0
60,6,0
80,2,0
100,5,0
0,2,2
20,3,1
40,4,0
60,6,0
80,6,0
100,5,0
0,4,4
20,3,2
40,2,0
60,3,0
80,2,0
100,5,0
0,4,4
20,6,4
40,3,0
60,3,0
80,5,0
100,4,0
0,5,4
20,5,2
40,5,0
60,4,0
80,3,0
100,6,0
0,4,4
20,5,1
40,5,0
60,4,0
80,2,0
100,5,0
0,3,3
20,3,2
40,5,0
60,4,0
80,3,0
100,4,0
0,3,3
20,2,0
40,3,0
60,2,0
80,2,0
100,5,0
0,6,6
20,3,2
40,3,0
60,5,0
80,4,0
100,5,0
0,2,1
20,2,1
40,4,0
60,4,0
80,3,0
100,2,0
0,5,5
20,5,3
40,5,0
60,3,0
80,6,0
100,5,0
0,6,6
20,4,1
40,4,0
60,6,0
80,5,0
100,4,0
0,2,2
20,6,4
40,5,0
60,4,0
80,3,0
100,4,0
0,4,4
20,4,1
40,3,0
60,6,0
80,4,0
100,2,0
0,6,6
20,2,1
40,2,0
60,5,0
80,2,0
100,3,0
