wl	density	SampleID	Locality	Taxon
298.34	1.042	Unique_flower_11	Loc_1	SpeciesB
305.82	0.898	Unique_flower_11	Loc_1	SpeciesB
313.27	0.665	Unique_flower_11	Loc_1	SpeciesB
320.72	1.23	Unique_flower_11	Loc_1	SpeciesB
328.15	1.216	Unique_flower_11	Loc_1	SpeciesB
335.57	0.935	Unique_flower_11	Loc_1	SpeciesB
342.98	1.805	Unique_flower_11	Loc_1	SpeciesB
350.37	1.632	Unique_flower_11	Loc_1	SpeciesB
357.75	1.333	Unique_flower_11	Loc_1	SpeciesB
365.11	1.714	Unique_flower_11	Loc_1	SpeciesB
372.46	2.244	Unique_flower_11	Loc_1	SpeciesB
379.8	1.763	Unique_flower_11	Loc_1	SpeciesB
387.12	3.003	Unique_flower_11	Loc_1	SpeciesB
394.43	4.3	Unique_flower_11	Loc_1	SpeciesB
401.72	8.434	Unique_flower_11	Loc_1	SpeciesB
409	13.884	Unique_flower_11	Loc_1	SpeciesB
416.26	18.952	Unique_flower_11	Loc_1	SpeciesB
423.51	22.328	Unique_flower_11	Loc_1	SpeciesB
430.75	23.51	Unique_flower_11	Loc_1	SpeciesB
439.05	23.587	Unique_flower_11	Loc_1	SpeciesB
446.25	22.408	Unique_flower_11	Loc_1	SpeciesB
453.44	21.454	Unique_flower_11	Loc_1	SpeciesB
460.61	19.385	Unique_flower_11	Loc_1	SpeciesB
467.77	16.284	Unique_flower_11	Loc_1	SpeciesB
474.91	13.792	Unique_flower_11	Loc_1	SpeciesB
482.03	10.253	Unique_flower_11	Loc_1	SpeciesB
489.14	7.534	Unique_flower_11	Loc_1	SpeciesB
496.24	5.513	Unique_flower_11	Loc_1	SpeciesB
503.31	4.014	Unique_flower_11	Loc_1	SpeciesB
511.43	3.405	Unique_flower_11	Loc_1	SpeciesB
518.48	2.256	Unique_flower_11	Loc_1	SpeciesB
525.5	2.453	Unique_flower_11	Loc_1	SpeciesB
532.51	0.936	Unique_flower_11	Loc_1	SpeciesB
