"country","fertilizer","unique_ID","yield"
"Canada","A","A_Canada_1",46.93
"Canada","A","A_Canada_2",45.41
"Canada","A","A_Canada_3",47.52
"Canada","A","A_Canada_4",47.63
"Canada","A","A_Canada_5",45.95
"Canada","A","A_Canada_6",50.56
"Canada","A","A_Canada_7",43.39
"Canada","A","A_Canada_8",45.93
"Canada","A","A_Canada_9",44.45
"Canada","A","A_Canada_10",43.23
"Canada","B","B_Canada_1",51.26
"Canada","B","B_Canada_2",51.71
"Canada","B","B_Canada_3",51.89
"Canada","B","B_Canada_4",47.01
"Canada","B","B_Canada_5",54.63
"Canada","B","B_Canada_6",46.17
"Canada","B","B_Canada_7",48.77
"Canada","B","B_Canada_8",49.45
"Canada","B","B_Canada_9",47.88
"Canada","B","B_Canada_10",49.57
"Canada","C","C_Canada_1",76.95
"Canada","C","C_Canada_2",71.97
"Canada","C","C_Canada_3",80.11
"Canada","C","C_Canada_4",80.65
"Canada","C","C_Canada_5",79.85
"Canada","C","C_Canada_6",75.13
"Canada","C","C_Canada_7",72.5
"Canada","C","C_Canada_8",76.27
"Canada","C","C_Canada_9",80.39
"Canada","C","C_Canada_10",78.92
"Costa Rica","C","C_Costa Rica_1",83.75
"Costa Rica","C","C_Costa Rica_2",83.23
"Costa Rica","C","C_Costa Rica_3",85.59
"Costa Rica","C","C_Costa Rica_4",84.66
"Costa Rica","C","C_Costa Rica_5",80.1
"Costa Rica","C","C_Costa Rica_6",83.99
"Costa Rica","C","C_Costa Rica_7",85.98
"Costa Rica","C","C_Costa Rica_8",81.21
"Costa Rica","C","C_Costa Rica_9",84.68
"Costa Rica","C","C_Costa Rica_10",84.2
"Costa Rica","A","A_Costa Rica_4",52.07
"Costa Rica","A","A_Costa Rica_5",48.82
"Costa Rica","A","A_Costa Rica_6",53.89
"Costa Rica","A","A_Costa Rica_7",52.24
"Costa Rica","A","A_Costa Rica_8",52.54
"Costa Rica","A","A_Costa Rica_9",52.88
"Costa Rica","A","A_Costa Rica_10",56.43
"Costa Rica","B","B_Costa Rica_1",50.02
"Costa Rica","B","B_Costa Rica_2",54.9
"Costa Rica","B","B_Costa Rica_3",60.41
"Costa Rica","A","A_Costa Rica_1",55.65
"Costa Rica","A","A_Costa Rica_2",51.55
"Costa Rica","A","A_Costa Rica_3",55.96
"Costa Rica","B","B_Costa Rica_7",54.97
"Costa Rica","B","B_Costa Rica_8",57.19
"Costa Rica","B","B_Costa Rica_9",53.12
"Costa Rica","B","B_Costa Rica_10",56.86
"Costa Rica","B","B_Costa Rica_6",54.62
