"Locality","Depth","rep","Alga_length"
"A",1,"A_depth_1_rep_1",90
"A",1,"A_depth_1_rep_10",101.12
"A",1,"A_depth_1_rep_2",88.9
"A",1,"A_depth_1_rep_3",71.25
"A",1,"A_depth_1_rep_4",99.54
"A",1,"A_depth_1_rep_5",86.01
"A",1,"A_depth_1_rep_6",90.6
"A",1,"A_depth_1_rep_7",72.61
"A",1,"A_depth_1_rep_8",81.53
"A",1,"A_depth_1_rep_9",82.49
"A",2,"A_depth_2_rep_1",84.58
"A",2,"A_depth_2_rep_10",78.23
"A",2,"A_depth_2_rep_2",74.43
"A",2,"A_depth_2_rep_3",103.12
"A",2,"A_depth_2_rep_4",91.39
"A",2,"A_depth_2_rep_5",90.94
"A",2,"A_depth_2_rep_6",82.51
"A",2,"A_depth_2_rep_7",88.59
"A",2,"A_depth_2_rep_8",77.23
"A",2,"A_depth_2_rep_9",90.81
"A",3,"A_depth_3_rep_1",80.54
"A",3,"A_depth_3_rep_10",87.65
"A",3,"A_depth_3_rep_2",114.4
"A",3,"A_depth_3_rep_3",83.89
"A",3,"A_depth_3_rep_4",102.7
"A",3,"A_depth_3_rep_5",100.91
"A",3,"A_depth_3_rep_6",76.79
"A",3,"A_depth_3_rep_7",81.67
"A",3,"A_depth_3_rep_8",83.96
"A",3,"A_depth_3_rep_9",90.24
"A",4,"A_depth_4_rep_1",109.47
"A",4,"A_depth_4_rep_10",106.42
"A",4,"A_depth_4_rep_2",107.31
"A",4,"A_depth_4_rep_3",74.76
"A",4,"A_depth_4_rep_4",97.15
"A",4,"A_depth_4_rep_5",90.4
"A",4,"A_depth_4_rep_6",96.67
"A",4,"A_depth_4_rep_7",93.96
"A",4,"A_depth_4_rep_8",97.91
"A",4,"A_depth_4_rep_9",109.3
"A",5,"A_depth_5_rep_1",100.01
"A",5,"A_depth_5_rep_10",97.66
"A",5,"A_depth_5_rep_2",102.11
"A",5,"A_depth_5_rep_3",105.55
"A",5,"A_depth_5_rep_4",94.93
"A",5,"A_depth_5_rep_5",79.86
"A",5,"A_depth_5_rep_6",90.38
"A",5,"A_depth_5_rep_7",109.27
"A",5,"A_depth_5_rep_8",81.18
"A",5,"A_depth_5_rep_9",88.02
"A",6,"A_depth_6_rep_1",106.89
"A",6,"A_depth_6_rep_10",114.44
"A",6,"A_depth_6_rep_2",108.82
"A",6,"A_depth_6_rep_3",94.93
"A",6,"A_depth_6_rep_4",106.04
"A",6,"A_depth_6_rep_5",90.47
"A",6,"A_depth_6_rep_6",108.74
"A",6,"A_depth_6_rep_7",112.46
"A",6,"A_depth_6_rep_8",84.45
"A",6,"A_depth_6_rep_9",94.81
"A",7,"A_depth_7_rep_1",85.17
"A",7,"A_depth_7_rep_10",117.02
"A",7,"A_depth_7_rep_2",118.8
"A",7,"A_depth_7_rep_3",104.62
"A",7,"A_depth_7_rep_4",102.04
"A",7,"A_depth_7_rep_5",108.63
"A",7,"A_depth_7_rep_6",88.39
"A",7,"A_depth_7_rep_7",101.36
"A",7,"A_depth_7_rep_8",93.99
"A",7,"A_depth_7_rep_9",95.47
"A",8,"A_depth_8_rep_1",100.56
"A",8,"A_depth_8_rep_10",106.25
"A",8,"A_depth_8_rep_2",116.85
"A",8,"A_depth_8_rep_3",107.98
"A",8,"A_depth_8_rep_4",102.28
"A",8,"A_depth_8_rep_5",118.69
"A",8,"A_depth_8_rep_6",129.73
"A",8,"A_depth_8_rep_7",107.7
"A",8,"A_depth_8_rep_8",114.48
"A",8,"A_depth_8_rep_9",108.67
"A",9,"A_depth_9_rep_1",116.63
"A",9,"A_depth_9_rep_10",122.93
"A",9,"A_depth_9_rep_2",100.83
"A",9,"A_depth_9_rep_3",94.21
"A",9,"A_depth_9_rep_4",98.25
"A",9,"A_depth_9_rep_5",131.63
"A",9,"A_depth_9_rep_6",109.55
"A",9,"A_depth_9_rep_7",118.51
"A",9,"A_depth_9_rep_8",109.07
"A",9,"A_depth_9_rep_9",116.51
"A",10,"A_depth_10_rep_1",98.78
"A",10,"A_depth_10_rep_10",120.71
"A",10,"A_depth_10_rep_2",102.5
"A",10,"A_depth_10_rep_3",135.72
"A",10,"A_depth_10_rep_4",129.16
"A",10,"A_depth_10_rep_5",133.9
"A",10,"A_depth_10_rep_6",109.74
"A",10,"A_depth_10_rep_7",136.02
"A",10,"A_depth_10_rep_8",115.95
"A",10,"A_depth_10_rep_9",106.54
"A",11,"A_depth_11_rep_1",109.74
"A",11,"A_depth_11_rep_10",126.06
"A",11,"A_depth_11_rep_2",114.19
"A",11,"A_depth_11_rep_3",108.81
"A",11,"A_depth_11_rep_4",120.62
"A",11,"A_depth_11_rep_5",117.27
"A",11,"A_depth_11_rep_6",125.07
"A",11,"A_depth_11_rep_7",116.59
"A",11,"A_depth_11_rep_8",122.77
"A",11,"A_depth_11_rep_9",122.07
"A",12,"A_depth_12_rep_1",127.04
"A",12,"A_depth_12_rep_10",107.32
"A",12,"A_depth_12_rep_2",104.13
"A",12,"A_depth_12_rep_3",131.05
"A",12,"A_depth_12_rep_4",120.29
"A",12,"A_depth_12_rep_5",117.23
"A",12,"A_depth_12_rep_6",113.15
"A",12,"A_depth_12_rep_7",107.03
"A",12,"A_depth_12_rep_8",122.83
"A",12,"A_depth_12_rep_9",123.45
"A",13,"A_depth_13_rep_1",151.57
"A",13,"A_depth_13_rep_10",130.2
"A",13,"A_depth_13_rep_2",100.83
"A",13,"A_depth_13_rep_3",106.2
"A",13,"A_depth_13_rep_4",106.16
"A",13,"A_depth_13_rep_5",104.83
"A",13,"A_depth_13_rep_6",129.14
"A",13,"A_depth_13_rep_7",124.25
"A",13,"A_depth_13_rep_8",121.38
"A",13,"A_depth_13_rep_9",126.96
"A",14,"A_depth_14_rep_1",124.43
"A",14,"A_depth_14_rep_10",133.83
"A",14,"A_depth_14_rep_2",122.74
"A",14,"A_depth_14_rep_3",119.01
