"Species","Depth","Alga_length"
"A",1,128.64
"A",2,110.34
"A",3,104.5
"A",4,118.93
"A",5,116.37
"A",6,113.55
"A",7,115.12
"A",8,113.25
"A",9,128.16
"A",10,133.05
"A",11,131.78
"A",12,117.22
"A",13,135.19
"A",14,119.63
"A",15,141.49
"A",1,123.11
"A",2,112.85
"A",3,109.27
"A",4,106.16
"A",5,107.63
"A",6,102.8
"A",7,131.86
"A",8,128.85
"A",9,118.11
"A",10,123.72
"A",11,117.36
"A",12,147.45
"A",13,113.78
"A",14,121.99
"A",15,125.61
"A",1,123.72
"A",2,115.8
"A",3,94.61
"A",4,105.14
"A",5,122.63
"A",6,119.15
"A",7,109.77
"A",8,118.87
"A",9,111.92
"A",10,123.47
"A",11,106.32
"A",12,125.6
"A",13,124.77
"A",14,123.25
"A",15,123.18
"A",1,119.91
"A",2,110.78
"A",3,116.78
"A",4,125.44
"A",5,130.45
"A",6,120.78
"A",7,118.44
"A",8,110.49
"A",9,105.37
"A",10,112.52
"A",11,134.54
"A",12,129.87
"A",13,119.84
"A",14,118.09
"A",15,118.57
"A",1,127.7
"A",2,114.71
"A",3,131.26
"A",4,125.25
"A",5,132.54
"A",6,110.07
"A",7,119.77
"A",8,110.82
"A",9,126.78
"A",10,122.18
"A",11,118.36
"A",12,137.07
"A",13,124.57
"A",14,133.06
"A",15,131.21
"A",1,109.03
"A",2,111.13
"A",3,118.52
"A",4,106.54
"A",5,124.93
"A",6,105.78
"A",7,136.8
"A",8,114.82
"A",9,138.18
"A",10,116.57
"A",11,111.09
"A",12,122.01
"A",13,122.44
"A",14,104.87
"A",15,134.08
"A",1,105.42
"A",2,121.15
"A",3,123.24
"A",4,119.9
"A",5,117.6
"A",6,121.35
"A",7,108.43
"A",8,111.63
"A",9,108.78
"A",10,137.56
"A",11,137.1
"A",12,124.51
"A",13,109.17
"A",14,122.53
"A",15,138.9
"A",1,112.2
"A",2,126.02
"A",3,107.77
"A",4,125.7
"A",5,108.79
"A",6,106.3
"A",7,109.6
"A",8,110.93
"A",9,110.91
"A",10,128.72
"A",11,122.05
"A",12,118.33
"A",13,110.71
"A",14,111.87
"A",15,114.89
"B",1,118.56
"B",2,129.97
"B",3,143.94
"B",4,131.43
"B",5,163.22
"B",6,139.07
"B",7,156.08
"B",8,185.97
"B",9,175.23
"B",10,167.96
"B",11,166.14
"B",12,185.55
"B",13,183.92
"B",14,184.68
"B",15,196.31
"B",1,125.06
"B",2,161.97
"B",3,156.39
"B",4,151.61
"B",5,155.42
"B",6,146.98
"B",7,166.19
"B",8,157.98
"B",9,155.68
"B",10,189.95
"B",11,165.49
"B",12,176.52
"B",13,177.71
"B",14,178.79
"B",15,199.21
"B",1,114.4
"B",2,132.47
"B",3,133.17
"B",4,129.27
"B",5,147.35
"B",6,148.14
"B",7,150.97
"B",8,171.67
"B",9,171.54
"B",10,169.63
"B",11,176.67
"B",12,171.96
"B",13,181.97
"B",14,199.89
"B",15,192.87
"B",1,131.76
"B",2,155.44
"B",3,131.84
"B",4,153.47
"B",5,166.51
"B",6,141.62
"B",7,157.25
"B",8,157.55
"B",9,161.01
"B",10,159.79
"B",11,165.83
"B",12,192.62
"B",13,190.16
"B",14,196.53
"B",15,209.08
"B",1,126.33
"B",2,143
"B",3,138.46
"B",4,138.42
"B",5,157.61
"B",6,152.95
"B",7,146.09
"B",8,159.11
"B",9,181.46
"B",10,182.63
"B",11,160.04
"B",12,180.53
"B",13,192.78
"B",14,171.82
"B",15,207.54
"B",1,124.51
"B",2,137.46
"B",3,137.09
"B",4,159.81
"B",5,132.88
"B",6,151.08
"B",7,147.25
"B",8,165.75
"B",9,189.02
"B",10,154.96
"B",11,174.42
"B",12,178.03
"B",13,199.92
"B",14,178.43
"B",15,198.15
"B",1,147.57
"B",2,131.9
"B",3,131.82
"B",4,141.92
"B",5,153.24
"B",6,142.14
"B",7,173.7
"B",8,161.62
"B",9,136.15
"B",10,159.16
"B",11,190.99
"B",12,169.49
"B",13,183
"B",14,188.98
"B",15,176.6
"B",1,135.15
"B",2,138.93
"B",3,158.38
"B",4,154.23
"B",5,148.92
"B",6,151.72
"B",7,163.31
"B",8,152.43
"B",9,167.15
"B",10,174.19
"B",11,180.72
"B",12,167.87
"B",13,199.11
"B",14,195.77
"B",15,218.86
"B",1,110.63
"B",2,128.52
"B",3,121.43
"B",4,139.25
"B",5,151.27
"B",6,170.11
"B",7,152.5
"B",8,149.22
"B",9,162.9
"B",10,176.95
"B",11,176.93
"B",12,193.13
"B",13,180.97
"B",14,171.57
"B",15,202.84
"B",1,118.63
"B",2,140.94
"B",3,144.37
"B",4,147.39
"B",5,165.83
"B",6,150.45
"B",7,143.54
"B",8,162.22
"B",9,163.67
"B",10,177.1
"B",11,191.89
"B",12,160.93
"B",13,181.84
"B",14,189.27
"B",15,198.7
"B",1,122.92
"B",2,138.61
"B",3,143.01
"B",4,143.45
"B",5,146.8
"B",6,167.68
"B",7,164.01
"B",8,181.71
"B",9,163.29
"B",10,157.74
"B",11,170.98
"B",12,180.55
"B",13,181.59
"B",14,184.3
"B",15,176.8
"C",1,69.35
"C",2,67.57
"C",3,87.75
"C",4,90.29
"C",5,107.77
"C",6,85.74
"C",7,104.29
"C",8,87.96
"C",9,76.68
"C",10,103.89
"C",11,93.66
"C",12,91.67
"C",13,94.75
"C",14,120.62
"C",15,128.92
"C",1,92.62
"C",2,78.18
"C",3,66.89
"C",4,88.72
"C",5,102.28
"C",6,100.79
"C",7,96.12
"C",8,97
"C",9,85.33
"C",10,104.01
"C",11,101.08
"C",12,103.31
"C",13,101.9
"C",14,91.64
"C",15,101.01
"C",1,89.51
"C",2,82.2
"C",3,83.96
"C",4,83.45
"C",5,105.98
"C",6,90.23
"C",7,95.28
"C",8,96.06
"C",9,83.79
"C",10,97.43
"C",11,116.95
"C",12,108.34
"C",13,85.78
"C",14,107.57
"C",15,115.87
"C",1,78.66
"C",2,91.79
"C",3,81.55
"C",4,72.29
"C",5,97.33
"C",6,93.38
"C",7,99.08
"C",8,107.56
"C",9,98.76
"C",10,77.27
"C",11,101.92
"C",12,81.32
"C",13,97.66
"C",14,118.87
"C",15,86.46
"C",1,81
"C",2,73.85
"C",3,79.89
"C",4,98.43
"C",5,93.8
"C",6,106.68
"C",7,77.45
"C",8,82.93
"C",9,86.48
"C",10,96.61
"C",11,87.44
"C",12,91.86
"C",13,91.94
"C",14,114.37
"C",15,115.72
"C",1,91.44
"C",2,116.02
"C",3,81.45
"C",4,94.68
"C",5,130.04
"C",6,97.22
"C",7,91.18
"C",8,81.6
"C",9,89.16
"C",10,76.51
"C",11,80.08
"C",12,97.21
"C",13,108.62
"C",14,107.1
"C",15,103.62
"C",1,56.17
"C",2,90.2
"C",3,89.7
"C",4,106.69
"C",5,63.99
"C",6,86.29
"C",7,114.63
"C",8,95.64
