x,y
1,83.67730946
1.5,142.9321662
2,118.2185694
2.5,273.5140401
3,251.4753886
3.5,242.7265808
4,364.3714526
4.5,440.6662353
5,503.7890676
5.5,538.4805806
6,715.5890584
6.5,753.2421618
7,803.937971
7.5,833.0150056
8,1116.246546
8.5,1181.50332
9,1314.190487
9.5,1500.941811
10,1641.06106
1,144.6950661
1.5,179.6988686
2,199.106815
2.5,197.4782492
3,135.5324152
3.5,314.7412874
4,337.193563
4.5,395.9602247
5,401.4623808
5.5,529.8424972
6,660.897078
6.5,801.6839776
7,829.8606136
7.5,963.1335806
8,1057.309748
8.5,1114.897022
9,1294.250272
9.5,1434.035502
10,1597.03433
1,170.0012686
1.5,171.9087874
2,151.7738202
2.5,181.081916
3,269.8481688
3.5,311.5831599
4,305.5622153
4.5,368.3752422
5,493.2290981
5.5,592.1766462
6,634.3826894
6.5,777.8053863
7,854.905294
7.5,913.1486803
8,1077.055985
8.5,1127.281845
9,1386.651185
9.5,1552.769995
10,1581.638926
1,62.79326868
1.5,162.2359814
2,153.2472698
2.5,313.830888
3,233.0379999
3.5,318.2369681
4,341.4001079
4.5,366.5863396
5,484.439615
5.5,463.5020686
6,713.2777431
6.5,741.4126669
7,943.6305835
7.5,967.5254764
8,1024.502678
8.5,1214.286318
9,1268.295118
9.5,1391.06833
10,1614.572312
1,92.83540634
1.5,133.8052676
2,163.7170662
2.5,164.2739527
3,206.5665634
3.5,276.9910692
4,398.9043498
4.5,327.57166
5,504.6973094
5.5,570.3975186
6,693.1549919
6.5,718.5408038
7,853.5009405
7.5,957.1049395
8,1032.873998
8.5,1244.14339
9,1373.020131
9.5,1488.760682
10,1679.341673
