Herd_uniqueID,Herd_size_n,Date,date_as_date,Survey_month,survey_day,Year,Locality,survey_day_n,Year_Month,food.quantity
Herd_495,0,15_11_2016,16/11/15,November,88,2016,Locality A,88,2016 November,2.554659
Herd_488,0,16_11_2016,16/11/16,November,89,2016,Locality A,89,2016 November,2.554659
Herd_508,0,17_11_2016,16/11/17,November,90,2016,Locality A,90,2016 November,2.554659
Herd_519,2,18_11_2016,16/11/18,November,91,2016,Locality A,91,2016 November,2.554659
Herd_491,13,13_12_2016,16/12/13,December,116,2016,Locality A,116,2016 December,2.729753
Herd_499,9,14_12_2016,16/12/14,December,117,2016,Locality A,117,2016 December,2.729753
Herd_517,0,15_12_2016,16/12/15,December,118,2016,Locality A,118,2016 December,2.729753
Herd_511,0,16_12_2016,16/12/16,December,119,2016,Locality A,119,2016 December,2.729753
Herd_490,1,18_01_2017,17/01/18,January,152,2017,Locality A,152,2017 January,2.67955
Herd_509,0,24_02_2017,17/02/24,February,189,2017,Locality A,189,2017 February,2.565332
Herd_500,0,25_02_2017,17/02/25,February,190,2017,Locality A,190,2017 February,2.565332
Herd_518,0,27_02_2017,17/02/27,February,192,2017,Locality A,192,2017 February,2.565332
Herd_521,0,28_02_2017,17/02/28,February,193,2017,Locality A,193,2017 February,2.565332
Herd_516,5,21_03_2017,17/03/21,March,214,2017,Locality A,214,2017 March,2.68409
Herd_497,3,22_03_2017,17/03/22,March,215,2017,Locality A,215,2017 March,2.68409
Herd_498,0,23_03_2017,17/03/23,March,216,2017,Locality A,216,2017 March,2.68409
Herd_487,9,24_03_2017,17/03/24,March,217,2017,Locality A,217,2017 March,2.68409
Herd_510,6,19_04_2017,17/04/19,April,243,2017,Locality A,243,2017 April,2.66223
Herd_520,10,20_04_2017,17/04/20,April,244,2017,Locality A,244,2017 April,2.66223
Herd_492,1,21_04_2017,17/04/21,April,245,2017,Locality A,245,2017 April,2.66223
Herd_493,1,21_04_2017,17/04/21,April,245,2017,Locality A,245,2017 April,2.66223
Herd_494,11,21_04_2017,17/04/21,April,245,2017,Locality A,245,2017 April,2.66223
Herd_505,3,22_04_2017,17/04/22,April,246,2017,Locality A,246,2017 April,2.66223
Herd_514,1,22_04_2017,17/04/22,April,246,2017,Locality A,246,2017 April,2.66223
Herd_485,1,09_05_2017,17/05/09,May,263,2017,Locality A,263,2017 May,2.688678
Herd_486,9,09_05_2017,17/05/09,May,263,2017,Locality A,263,2017 May,2.688678
